id,bucket,is_root,spam,text,parent_text
3,experiment,True,0,This is the first one that looked like it was hiding from the world at large.,
4,experiment,True,0,"Don't piss me off, junior. Or I will repaint this office with your brains.",
5,experiment,True,0,The first and most important rule of gunrunning is never get shot with your own merchandise.,
6,experiment,True,0,"Actually, my friend will pronounce you dead shortly and I thought I might keep him company.",
7,experiment,True,0,You don't have to tell me your secret if you don't want to.,
8,experiment,True,0,"Can you think of anything else, Barbara, they might have told me about that party?",
11,experiment,False,0,"Can you think of anything else, Barbra, That they might of told me about that party?","Can you think of anything else, Barbara, they might have told me about that party?"
13,experiment,False,0,The first and most important rule of gun running is that you don't get shot with your own merchandise.,The first and most important rule of gunrunning is never get shot with your own merchandise.
15,experiment,False,0,"Don't piss me off, Junior, Or ill repaint this office with your brains.","Don't piss me off, junior. Or I will repaint this office with your brains."
16,experiment,False,0,"Actually, my friend will pronounce you dead shortly and i thought id keep him company.","Actually, my friend will pronounce you dead shortly and I thought I might keep him company."
17,experiment,False,0,You don't have to tell me your secret if you don't want to.,You don't have to tell me your secret if you don't want to.
18,experiment,False,0,This is the first one that looked like it was hiding from the world at large.,This is the first one that looked like it was hiding from the world at large.
19,experiment,False,0,The first and most important rule of gunrunning is never get caught with your own rule.,The first and most important rule of gunrunning is never get shot with your own merchandise.
20,experiment,False,0,Don't piss me off junior or I'll paint this office with your brains.,"Don't piss me off, junior. Or I will repaint this office with your brains."
21,experiment,False,0,You don't have to tell me your secret if you don't want to.,You don't have to tell me your secret if you don't want to.
22,experiment,False,0,"Actually, my friend will pronounce you dead shortly so I thought I'd keep you company.","Actually, my friend will pronounce you dead shortly and I thought I might keep him company."
23,experiment,False,0,This was the first one that look like it was hiding from the world at large.,This is the first one that looked like it was hiding from the world at large.
24,experiment,False,0,"Can you think of anything else, Barbara, They might have told me about that party.","Can you think of anything else, Barbara, they might have told me about that party?"
29,experiment,False,0,The most important rule of gunrunning is never get caught with your own rule.,The first and most important rule of gunrunning is never get caught with your own rule.
30,experiment,False,0,You don't have to tell me your secret if you don't want to.,You don't have to tell me your secret if you don't want to.
32,experiment,False,0,"Can you think of anything else, Barbra that they might have told me about the party?","Can you think of anything else, Barbra, That they might of told me about that party?"
34,experiment,False,0,The first and most important rule of gun running is that you don't get shot with your own merchandise.,The first and most important rule of gun running is that you don't get shot with your own merchandise.
35,experiment,False,0,This is the first one that looked like it was hiding from the world at large.,This is the first one that looked like it was hiding from the world at large.
36,experiment,False,0,"You don't have to tell me your secret, if you don't want to.",You don't have to tell me your secret if you don't want to.
37,experiment,False,0,"Can you think of anything else, Barbra that they might have told me about the party?","Can you think of anything else, Barbra that they might have told me about the party?"
38,experiment,False,0,This was the first one that look like it was hiding from the world at large.,This was the first one that look like it was hiding from the world at large.
39,experiment,False,0,The most important rule of gunrunning is never get caught with your own rule.,The most important rule of gunrunning is never get caught with your own rule.
40,experiment,False,0,Don't piss me off junior or I'll paint this office with your brains.,Don't piss me off junior or I'll paint this office with your brains.
